"ISLAND","SITE","LATITUDE","LONGITUDE","WavePower"
"Maug","MAU-00586",20.01115303,145.2138553,56808.925995
"Saipan","SAI-00684",15.25950937,145.7725304,26884.350445
"Saipan","SAI-00708",15.24588316,145.7032444,35005.8756225
"Howland","HOW-00604",0.80820448,-176.6101181,131283.37725
"Howland","HOW-00646",0.81138792,-176.6115969,130371.02725
"Howland","HOW-00655",0.8152084,-176.6132567,129924.5022
"Howland","HOW-00611",0.795743,-176.610971,117060.252025
"Howland","HOW-00690",0.794014,-176.61198,111060.776825
"Howland","HOW-00648",0.79953,-176.610245,122138.2521
"Howland","HOW-00617",0.80368252,-176.609552,130386.7023
"Howland","HOW-00694",0.80773995,-176.6102771,132020.4023
"Howland","HOW-00688",0.80158,-176.621031,58694.026045
"Howland","HOW-00636",0.8146681,-176.6238552,70876.05121
"Howland","HOW-00697",0.80431595,-176.6210289,55231.350935
"Howland","HOW-00607",0.82446537,-176.6221787,143987.90255
"Howland","HOW-00600",0.80832291,-176.6219684,55650.0009425
"Howland","HOW-00647",0.81279885,-176.6233491,61750.7010625
"Howland","HOW-00672",0.802671,-176.610044,130355.8523
"Howland","HOW-00642",0.80646783,-176.6214301,54646.625925
"Howland","HOW-00640",0.8049,-176.609592,137683.6524
"Howland","HOW-00650",0.798214,-176.62,57345.451015
"Howland","HOW-00687",0.8120516,-176.6121781,130390.47725
"Howland","HOW-00686",0.816075,-176.624439,75897.051335
"Howland","HOW-00699",0.794404,-176.618332,103292.75175
"Baker","BAK-00497",0.20374361,-176.4740814,127185.2522
"Baker","BAK-00480",0.20167002,-176.46816,133932.6523
"Baker","BAK-00506",0.18870179,-176.4814604,57615.750955
"Baker","BAK-00408",0.20587329,-176.480385,124873.252175
"Baker","BAK-00457",0.20426128,-176.4727684,127890.0022
"Baker","BAK-00454",0.19582934,-176.4865185,79679.90137
"Baker","BAK-00490",0.19641875,-176.4860113,82606.5514275
"Baker","BAK-00407",0.18995907,-176.4583931,149387.05265
"Baker","BAK-00418",0.18615771,-176.4660629,128157.0022
