"","SITE","OBS_YEAR","PeakDHW","PeakDate"
"294","ASC-00318",2019,1.97000002861023,"2019-08-03"
"295","ASC-00339",2013,4.26999998092651,"2013-09-09"
"296","ASC-00339",2014,9.81999969482422,"2014-09-09"
"297","ASC-00339",2015,0,"2015-01-01"
"298","ASC-00339",2016,5.03000020980835,"2016-08-11"
"299","ASC-00339",2017,6.84000015258789,"2017-08-21"
"300","ASC-00339",2018,0,"2018-01-01"
"301","ASC-00339",2019,2.29999995231628,"2019-08-03"
"302","ASC-00307",2013,4.26000022888184,"2013-09-09"
"303","ASC-00307",2014,9.76000022888184,"2014-09-08"
"304","ASC-00307",2015,0,"2015-01-01"
"305","ASC-00307",2016,5.17000007629395,"2016-08-11"
"306","ASC-00307",2017,6.6399998664856,"2017-08-21"
"307","ASC-00307",2018,0,"2018-01-01"
"308","ASC-00307",2019,2.25999999046326,"2019-08-03"
"309","ASC-00303",2013,4.26000022888184,"2013-09-09"
"310","ASC-00303",2014,9.76000022888184,"2014-09-08"
"311","ASC-00303",2015,0,"2015-01-01"
"312","ASC-00303",2016,5.17000007629395,"2016-08-11"
"313","ASC-00303",2017,6.6399998664856,"2017-08-21"
"314","ASC-00303",2018,0,"2018-01-01"
"315","ASC-00303",2019,2.25999999046326,"2019-08-03"
"316","ASC-00316",2013,4.26000022888184,"2013-09-09"
"317","ASC-00316",2014,9.76000022888184,"2014-09-08"
"318","ASC-00316",2015,0,"2015-01-01"
"319","ASC-00316",2016,5.17000007629395,"2016-08-11"
"320","ASC-00316",2017,6.6399998664856,"2017-08-21"
"321","ASC-00316",2018,0,"2018-01-01"
"322","ASC-00316",2019,2.25999999046326,"2019-08-03"
"323","ASC-00401",2013,4.26000022888184,"2013-09-09"
"324","ASC-00401",2014,9.76000022888184,"2014-09-08"
"325","ASC-00401",2015,0,"2015-01-01"
"326","ASC-00401",2016,5.17000007629395,"2016-08-11"
"327","ASC-00401",2017,6.6399998664856,"2017-08-21"
"328","ASC-00401",2018,0,"2018-01-01"
"329","ASC-00401",2019,2.25999999046326,"2019-08-03"
"330","ASC-00466",2013,4.26000022888184,"2013-09-09"
"331","ASC-00466",2014,9.76000022888184,"2014-09-08"
"332","ASC-00466",2015,0,"2015-01-01"
"333","ASC-00466",2016,5.17000007629395,"2016-08-11"
"334","ASC-00466",2017,6.6399998664856,"2017-08-21"
"335","ASC-00466",2018,0,"2018-01-01"
"336","ASC-00466",2019,2.25999999046326,"2019-08-03"
"337","ASC-00456",2013,4.36999988555908,"2013-09-09"
"338","ASC-00456",2014,9.60999965667725,"2014-09-04"
"339","ASC-00456",2015,0,"2015-01-01"
"340","ASC-00456",2016,5.30000019073486,"2016-08-11"
"341","ASC-00456",2017,6.94999980926514,"2017-08-21"
"342","ASC-00456",2018,0,"2018-01-01"
"343","ASC-00456",2019,1.97000002861023,"2019-08-03"
